Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
Bili Hu,Mysore Nuggets Extra Bold,Medium Roast,"Whole Beans - Spices, Chocolate, Medium Acidity, Full Body, Lingering After-taste; French Press - Spices, Bell Peppers, Medium Acidity, Full Body; Pour Over / Drip Filter - Cacao, Bell Peppers, Medium Acidity, Full Body; Mokapot / Percolator - Sweetened Chocolate, Low Acidity, Full Body; Espresso - Milk Chocolate, Spices, Lingering After-taste, Medium Acidity, Full Body, Bright Balance Cup; Aeropress - Milk Chocolate, Spices, Bell Peppers, Medium Acidity, Full Body","Chikmagalur, Karnataka",Arabica Beans,Washed,,"INR 749 - INR 2,100",https://bilihu.in/collections/micro-lots/products/mysore-nuggets-extra-bold
Bili Hu,Monsooned Malabar,Medium-Light Roast,"Whole Beans - Roasted Nuts, Dates Aftertaste, Earthy Aroma, Aroma of wood, Neutral Acidity, Medium Body; French Press - Petrichor, Buttery Mouthfeel, Medium Acidity, Full Body; Drip filter - Petrichor, Raisin-like Mellow Sweetness, Overall Bright Cup, Medium Acidity, Full Body; Mokapot / Percolator - Earthy, Aroma of Wood, Jaggery-like Sweet After-taste, Low Acidity, Medium Body; Espresso - Earthy, Nutty, Jaggery, Sweet After-taste, Neutral Acidity, Medium Body, Bright Balanced Cup; Aeropress - Roasted Peanuts, Earthy Aroma, Neutral Acidity, Medium Body","Chikmagalur, Karnataka",AA Arabica Beans,"Unwashed, Monsooned",,"INR 749 - INR 2,250",https://bilihu.in/collections/micro-lots/products/monsooned-malabar
Bili Hu,Colombian Decaf Coffee,Omni Roast,"Whole Beans - Butter Cookies, Blood Orange, Raisins, Medium Acidity, Medium Body",Colombia,Arabica Beans,Dichloromethane Process,,"INR 1,750",https://bilihu.in/collections/micro-lots/products/colombian-decaf-coffee
Bili Hu,Aghora Estate,Medium Roast,"Whole Beans - Trail Mix, Dried Raisins, Jaggery Sweetness, Low Acidity, Full Body; French Press - Dates, Roasted Nuts, Medium Acidity, Medium Body; Drip filter - Sweet Lime, White Chocolate, Medium Acidity, Full Body; Mokapot / Percolator - Jaggery, Milk Chocolate, Medium Acidity, Full Body; Espresso - Sweet Lime, Salted Roasted Nuts, Low Acidity, Full Body; Aeropress - Zesty Lime, White Chocolate, Medium Acidity, Full Body","Aghora Estate, Chikmagalur, Karnataka",Arabica Beans,Washed,1050-1100 m,"INR 749 - INR 1,890",https://bilihu.in/collections/single-origins/products/aghora-estate-1
Bili Hu,Balur Estate,Medium Roast,"Whole Beans - Nutty, Milk Chocolate, Caramel, Medium Acidity, Full Body; French Press - Caramel, Dark Chocolate, Moderate Acidity, Full Body; Drip Filter - Walnuts, Salted caramel, Cleaner- Lighter finish cup, Medium Acidity, Full Body; Mokapot / Percolator - Bold, Dark Chocolate, Nutty, Caramel, Moderate Acidity, Full Body; Espresso - Sweet Berries, Black Grapes, Medium Acidity, Full Body; Aeropress - Bright, with prominent Berry Acidity, Caramel, Smooth body with clean, chocolatey sweetness","Balur Estate, Chikmagalur, Karnataka",Arabica Beans,Red Honey sun-dried,,"INR 749 - INR 2,400",https://bilihu.in/collections/single-origins/products/single-estate-coffee-balur
Bili Hu,Balur Estate (Dark Roast),Dark Roast,"Whole Beans - Cocoa, Smoky, Cherry-like Aftertaste, Low Acidity, Full Body; French Press - Caramel, Cinnamon, Moderate Acidity, Full Body; Drip Filter - Walnuts, Grapefruit, Cleaner- Lighter finish cup, Medium Acidity, Full Body; Mokapot / Percolator - Bold, Dark Chocolate, Caramel, Moderate Acidity, Full Body; Espresso - Milk Chocolate, Black Grapes, Medium Acidity, Full Body; Aeropress - Bright, with prominent Berry Acidity, Caramel, Smooth body with clean, chocolatey sweetness","Balur Estate, Chikmagalur, Karnataka",Arabica Beans,Red Honey sun-dried,,"INR 849 - INR 2,749",https://bilihu.in/collections/single-origins/products/balur-estate-dark-roast
Bili Hu,Balur Estate - Robusta,Medium Roast,"Whole Beans - Roasted Popcorn, Dark Chocolate, Medium Acidity, Full Body; French Press - Caramel Sweetness, Roasted Popcorn, Medium Acidity, Medium Body; Drip Filter - Salted Caramel, Roasted Nuts, Mild Acidity and Body; Mokapot / Percolator - Nutty, Sweet lingering aftertaste, Caramel Sweetness, Full Body, Medium Acidity; Espresso - Caramel Popcorn, Sweet Berries like after-taste, Full Body, Medium acidity; Aeropress - Popcorn flavor with Caramel sweetness, Medium Acidity with smooth, light finish","Balur Estate, Chikmagalur, Karnataka",Robusta Beans,Washed,,INR 649,https://bilihu.in/collections/single-origins/products/balur-estate-robusta-pulp-sundried
Bili Hu,Kalledevarapura Estate,Medium Roast,"Whole Beans - Milk Chocolate, Oranges, Medium Acidity, Full Body; French Press - Chocolates, Oranges, Sweet-Aftertaste, Medium Acidity, Full Body; Drip filter - Chocolate, Buttery Mouthfeel, Jaggery-like Sweetness, Medium Acidity, Full Body; Mokapot / Percolator - Milk Chocolate, Jaggery-like Sweetness, Medium Acidity, Full Body; Espresso - Milk Chocolate, Sweet, Citrus Caramel finish, Medium Acidity, Full Body; Aeropress - Sweet Oranges, Dark Chocolate, Medium Acidity, Full Body","Kalledevarapura Estate, Chikmagalur, Karnataka",Arabica Beans,Washed,,"INR 749 - INR 2,400",https://bilihu.in/collections/single-origins/products/kalledevarapura-estate
Bili Hu,Arabica Blend (Dark Roast),Dark Roast,"Whole Beans - Co cao, Smoky, Cherry-like Aftertaste, Low Acidity, Full Body .; French Press - Maple Syrup, Cinnamon, Smoky, Low Acidity, Full Body.; Drip filter - Peaches, Dried Nuts, Dark Chocolate, Medium Acidity, Medium Body.; Mokapot / Percolator - Grapefruit, Smoky, Bright Balanced Cup, Medium Acidity, Full Body.; Espresso - Dark Chocolate, Almonds, Lingering Sweet After-taste, Low Acidity, Full Body, Bright balanced cup .; Aeropress - Milk Chocolate, Fermented Berries-like Aftertaste, Medium Acidity, Full Body.","Chikmagalur, Karnataka",Arabica Beans,Washed & Red Honey Sun-dried,,"INR 749 - INR 2,265",https://bilihu.in/collections/blends/products/arabica-blend-dark-roast
Bili Hu,Arabica Blend (Medium Roast),Medium Roast,"Whole Beans - Sweet Berries, Roasted Nuts, No Bitterness, Low Acidity, Full Body.; French Press - Chocolate, Nutty, Berry-like Sweet Aftertaste, Low Acidity, Full Body.; Drip filter - Sweet Cherries, Dried Nuts, Medium Acidity, Medium Body.; Mokapot / Percolator - Sweet Cherries, Nutty-taste, Medium Acidity, Medium Body.; Espresso - Date Jaggery, Roasted Peanuts, Low Acidity, Full Body, Bright balanced cup.; Aeropress - Milk Chocolate, Fermented Berries-like Aftertaste, Medium Acidity, Full Body","Chikmagalur, Karnataka",Arabica Beans,Washed & Red Honey Sun-dried,,"INR 649 - INR 2,265",https://bilihu.in/collections/blends/products/arabica-blend-medium-roast
