Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
Coffeeverse,Koraput Black Honey,Medium Light Roast,"Toffee , Honeysuckle , Apricot",Koraput Estate,Arabica,Black Honey,,"INR 1,000",https://coffeeverse.in/products/koraput-black-honey
Coffeeverse,Kolli Berri Naturals,Medium Light Roast,"Dried Pineapple , Banana , Bergamot",Kolli Berri Estate,Arabica,Anaerobic Naturals,,"INR 1,000",https://coffeeverse.in/products/kolli-berri-naturals
Coffeeverse,Krishnagiri Honey,Medium Light Roast,"Black Raisin , Maple Syrup , Nectar",Krishnagiri Estate,Arabica,Red Honey,,"INR 1,000",https://coffeeverse.in/products/krishnagiri-honey
Coffeeverse,Sugar Fermented Naturals,Medium Light Roast,"Black Raisin , Milk Chocolate , Yellow Plum",Gungegiri Estate,Arabica,Sugar Fermented Naturals,,"INR 1,000",https://coffeeverse.in/products/sugar-fermented-naturals
Coffeeverse,Lot 89,Medium Light Roast,"Jaggery , Green Grape , Maple Syrup",Karadykan Estate,Arabica,Saccharmoyces Yeast Naturals,,"INR 1,000",https://coffeeverse.in/products/lot-89
Coffeeverse,Riverdale Washed,Medium Roast,"Nougat Toffee , Cinnamon",Riverdale Estate,Arabica,Washed,,INR 900,https://coffeeverse.in/products/riverdale-washed
Coffeeverse,Flowerette Naturals,Medium Light Roast,"Apricot Peach Red Cherry , Floral",Riverdale Estate,Arabica,Naturals,,"INR 1,100",https://coffeeverse.in/products/flowerette-naturals
Coffeeverse,Red Fruit Naturals,Medium Light Roast,"Papaya , Fig , Raspberry Jam",Riverdale Estate,Arabica,Red Fruits Naturals,,"INR 1,100",https://coffeeverse.in/products/red-fruit-naturals
Coffeeverse,Nitrogen Naturals,,"Mixed Berries , Molasses , Peach",Ratnagiri Estate,Arabica,Anaerobic fermentation with lab-cultured yeast in nitrogen-filled bio-fermenters; natural dried,,"INR 1,075",https://coffeeverse.in/products/nitrogen-naturals
Coffeeverse,Sirangalli Honey,Medium Light Roast,"Tender Coconut , Apricot , Jaggery , Honeysuckle",Sirangalli Estate,Arabica,96hr Honey Sun Dried,,INR 975,https://coffeeverse.in/products/sirangalli-honey
Coffeeverse,Blossom Naturals,Medium Light Roast,"Clover Honey , Litchi , Floral , Golden Raisins",Ratnagiri Estate,Arabica,72hrs Culture Process,4400 feet,"INR 1,075",https://coffeeverse.in/products/blossom-naturals
Coffeeverse,Intense  Rum Barrel Aged Coffee,Medium Roast,"Vanilla , Purple Grapes , Blackberry",Ratnagiri Estate,Arabica,Rum Barrel Aged; natural processed,,"INR 1,275",https://coffeeverse.in/products/intense-rum-barrel
Coffeeverse,San Ramon,Medium Light Roast,"Caramel , Milk-Chocolate , Bergamot",Amruthavarshini Estate,Arabica,Honey Sun Dried; Double Anaerobic fermentation with yeast,,"INR 1,175",https://coffeeverse.in/products/san-ramon
Coffeeverse,Ratnagiri Washed,Medium Roast,"Tangerine , Dark Chocolate , Nutmeg",Ratnagiri Estate,Arabica,Washed,,INR 900,https://coffeeverse.in/products/ratnagiri-washed
Coffeeverse,Yeast Carbonic Naturals Filter Roast | Ratnagiri Estate,Medium Light Roast,"Cranberry , Prunes , Molasses",Ratnagiri Estate,Arabica,Carbonic Maceration,,"INR 1,075",https://coffeeverse.in/products/yeast-carbonic-naturals-filter-roast-ratnagiri-estate
Corridor Seven Coffee Roasters,August Rush Blend,Medium Roast,"Prunes, Soft Finish and Toasted Almonds || Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal - SLN 795 and SLN9 || Altitude - 1450-1524 MASL || Process - Blended || Harvest Year- 2025 || Location - India (various parts) || 100% Arabica",India (various parts),SLN 795 & SLN9; 100% Arabica,Blended,1450-1524 MASL,"INR 800 - INR 2,760",https://corridorseven.coffee/products/august-rush
Corridor Seven Coffee Roasters,Baarbara Estate Washed Process,Medium Roast,"Caramel, Hint Of Clove and White Chocolate || Roasting Profile- Espresso Profile ( Medium Roast ) || Varietal - SLN-795 || Altitude - 1524 MASL || Process - Washed || Harvest Year - 2025 || Location - Chikmagalur || 100% Arabica",Chikmagalur,SLN-795; 100% Arabica,Washed,1524 MASL,"INR 740 - INR 2,510",https://corridorseven.coffee/products/baarbara
Corridor Seven Coffee Roasters,Barista Forte Blend,Medium Roast,"Cacao, Nutmeg and traces of Bayleaf",India (various parts),100% Arabica,Blended,1450-1524 MASL,"INR 740 - INR 2,730",https://corridorseven.coffee/products/barista-forte
Corridor Seven Coffee Roasters,Basankhan Estate,Medium Roast,"Green Apple, Muskmelon and Rounded mouthfeel",Basankhan Estate,S 795,Washed,1470 MASL,"INR 820 - INR 2,830",https://corridorseven.coffee/products/basankhan-estate
Corridor Seven Coffee Roasters,BR!M Blend,Medium Dark Roast,"Cinnamon, Roasted hazelnut and Brown sugar || Roasting Profile - Espresso || Process - Washed",,,Washed,,"INR 620 - INR 2,260",https://corridorseven.coffee/products/brim-blend
Corridor Seven Coffee Roasters,Cold Brew Blend - BOLD,Medium Dark Roast,"Dark Chocolate, Caramel and Bold || Roasting Profile - Espresso || Process- Blended || 100% Arabica",,100% Arabica,Blended,,"INR 740 - INR 2,510",https://corridorseven.coffee/products/cold-brew-blend-bold
Corridor Seven Coffee Roasters,Cold Brew Blend - Regular (March Mellow),Light to Medium Roast,"Apricot, Light Body and Orange zest || Roasting Profile- Filter ( Light To Medium Roast ) || Altitude- 1524-1650 MASL || Process- Blended || Harvest Year- 2025 || 100% Arabica",,100% Arabica,Blended,1524-1650 MASL,"INR 800 - INR 2,760",https://corridorseven.coffee/products/marching
Corridor Seven Coffee Roasters,French Roast,Dark Roast,"Bold, smokey and heavy bodied || Roasting Profile - Espresso Profile ( Dark Roast ) || Varietal - Catura || Altitude - 1260MASL || Process - Washed Arabica || Harvest Year - 2025 || Location - Chikmagalur || 100% Arabica",Chikmagalur,Catura; 100% Arabica,Washed Arabica,1260 MASL,"INR 710 - INR 2,450",https://corridorseven.coffee/products/french
Corridor Seven Coffee Roasters,LEAN Blend,Medium Dark Roast,"Medium Bodied, Hint of Cinnamon and Sweet Finish || Roasting Profile - Espresso || Process - Washed || Harvest Year- 2025 || 100% Arabica",,100% Arabica,Washed,,"INR 710 - INR 2,450",https://corridorseven.coffee/products/lean-blend
Corridor Seven Coffee Roasters,Melkodige Estate Saccharomyces 72hrs Naturals,Light Roast,"Pomegranate, Pink Guava and Golden Raisins",Melkodige Estate,Sl 9,Saccharomyces 72hrs Naturals,1280 MASL,"INR 1,110 - INR 3,865",https://corridorseven.coffee/products/melkodige-estate
Corridor Seven Coffee Roasters,Ratnagiri Estate Washed Process,Medium Roast,"Plum, Brown Sugar and Green Apple's Dryness || Roasting Profile - Espresso ( Medium Roast ) || Varietal - Catuai || Altitude - 1350 MASL || Process - Washed || Harvest Year - 2025 || 100% Arabica",Ratnagiri Estate,Catuai; 100% Arabica,Washed,1350 MASL,"INR 820 - INR 2,830",https://corridorseven.coffee/products/ratnagiri-estate-washed-process
Corridor Seven Coffee Roasters,Salawara Estate Bioreactor Naturals,Light Roast,"Spiced Mandarin Tea , Dried Apple and Cranberry",Salawara Estate,SL 795,Naturals,1050 MASL,"INR 1,070 - INR 3,730",https://corridorseven.coffee/products/salawara-estate-bioreactor-naturals
Corridor Seven Coffee Roasters,Salawara Estate Carbonic Maceration,Light Roast,"Watermelon, Orange Blossom, and Damson Plum",Salawara Estate,SL 795 + SL 6,Carbonic Maceration Naturals,1050 MASL,"INR 1,070 - INR 3,730",https://corridorseven.coffee/products/salawara-estate-carbonic-maceration
Corridor Seven Coffee Roasters,Salawara Estate Mosto fermentation,Light Roast,"White peach, Golden Raisin and Bergamot",Salawara Estate,SL 795,Champagne Fermentation,1050 MASL,"INR 1,050 - INR 3,670",https://corridorseven.coffee/products/salawara-estate-mosto-fermentation
Corridor Seven Coffee Roasters,Salawara Estate Pichia Fermentation HSD,Light Roast,"Green Apple, Prune and Creamy Mouthfeel",Salawara Estate,SL 6 + SL 9,Honey Sun Dried,1050 MASL,"INR 1,050 - INR 3,670",https://corridorseven.coffee/products/salawara-estate-pichia-fermentation-hsd
Corridor Seven Coffee Roasters,Summer Salad Blend,Light Roast,"Watermelon, Stone Fruit like Plum and Vibrant Acidity || Roasting Profile - Filter ( Light Roast ) || Process - Washed + Naturals || Harvest Year - 2025",,,Washed + Naturals,,"INR 960 - INR 3,325",https://corridorseven.coffee/products/summer-salad-blend
Corridor Seven Coffee Roasters,Vienna Roast,Dark Roast,"C acao nibs, dark chocolate and long finsih || Roasting Profile- Espresso ( Dark Roast ) || Varietal - Catura, SLN- 795 || Altitude - 1260MASL || Process- Washed Arabica || Harvest Year- 2025 || Location - Chikmagalur",Chikmagalur,"Catura, SLN- 795",Washed Arabica,1260 MASL,"INR 710 - INR 2,450",https://corridorseven.coffee/products/vienna
Dancing Goat Coffee Roasters,DG Espresso Roast,Dark Roast,"Dark Chocolate, Cacao; strong, punchy, bold",Coorg,,,,"INR 500 - INR 1,750",https://www.dancinggoatcoffee.in/products/dg-espresso-roast/2037129000002539598
Dancing Goat Coffee Roasters,Ratnagiri Estate,Dark Roast,"Milk Chocolate, ripe cherry, raisin; smooth velvety body","Ratnagiri Estate, India's Western Ghats",,Washed,,"INR 550 - INR 1,875",https://www.dancinggoatcoffee.in/products/ratnagiriestate/2037129000000679971
Dancing Goat Coffee Roasters,Blossom,Light-Medium Roast,"White flowers, orange rind, toffee, almonds, chamomile",Near Bababudangiri,,,,"INR 800 - INR 2,850",https://www.dancinggoatcoffee.in/products/blossom/2037129000000679385
Dancing Goat Coffee Roasters,DG Microlot #1,Medium-Dark Roast,"Dark chocolate, caramel, toasty nuts, lemon zest",Coorg,,,,"INR 500 - INR 1,750",https://www.dancinggoatcoffee.in/products/dg-microlot-1/2037129000000680339
Dancing Goat Coffee Roasters,Hunkal Estate,Medium Roast,"Sweet Lime, Orange, Cacao","Thogarihunkal Estate, Mullayanagiri",,Honey Sun Dried,1500 MASL,"INR 600 - INR 2,000",https://www.dancinggoatcoffee.in/products/hunkal-estate/2037129000004117001
Dancing Goat Coffee Roasters,Baarbara Estate,,"Dark chocolate, bittersweet caramel, walnuts","Baarbara Estate, Bababudangiri hills",,,1500 MASL,"INR 600 - INR 2,000",https://www.dancinggoatcoffee.in/products/baarbara-estate/2037129000003624001
Dancing Goat Coffee Roasters,Rum Barrel Aged,Light-Medium Roast,"Woody oak, caramel, vanilla; rich velvety mouthfeel",Ratnagiri Estate,,Rum Barrel Aged,,"INR 950 - INR 3,400",https://www.dancinggoatcoffee.in/products/rum-barrel-aged/2037129000000234065
Dancing Goat Coffee Roasters,Whiskey Barrel Aged,Light-Medium Roast,"Woody oak, caramel, malt; rich velvety mouthfeel",Ratnagiri Estate,,Whiskey Barrel Aged,,"INR 950 - INR 3,400",https://www.dancinggoatcoffee.in/products/whiskey-barrel-aged/2037129000002539394
Dope Coffee Roasters,MYSORE NUGGETS,Light-Medium Roast,"Toasted Corn Flakes, Butterscotch, Caramel",India,100% Arabica,,,INR 660,https://dopecoffee.in/products/mysore-nuggets
Dope Coffee Roasters,Buzz Blend,Dark Roast,"Chocolate, Molasses, Toasted Nuts",,Arabica & Robusta,,,INR 520,https://dopecoffee.in/products/buzz-blend
Dope Coffee Roasters,Dark Matter,Medium Dark Roast,"Pomegranate, Smoked Woods, Dark Chocolate",,,,,INR 620,https://dopecoffee.in/products/dark-matter
Dope Coffee Roasters,POLARIS COLD BREW BLEND,Medium Roast,"Nutty, Caramel, Smokey",,100% Arabica,,,INR 575,https://dopecoffee.in/products/cold-brew
Dope Coffee Roasters,KALLEDEVARAPURA ESTATE,Light-Medium Roast,"Hazelnut, Caramel, Dark Chocolate","Kalledevarapura Estate, South India",100% Arabica,,4500 feet,INR 645,https://dopecoffee.in/products/kalledevarapura-estate
Dope Coffee Roasters,NILGIRI,Medium Roast,"Butterscotch, Malt, Jaggery, Raisin","Nilgiri, Tamil Nadu",100% Arabica,,,INR 625,https://dopecoffee.in/products/nilgiri-estate
Dope Coffee Roasters,ROARING ROBUSTA,Dark+ Roast,"Dark Chocolate, Oaky, Nutty",,100% Robusta,,,INR 480,https://dopecoffee.in/products/roaring-robusta
Dope Coffee Roasters,VIENNA VORTEX,Vienna Roast,"Cocoa Nibs, Bittersweet, Smoky",,,,,INR 580,https://dopecoffee.in/products/vienna-vortex
Eventide Coffee,Bloom [Jasmine Coffee],Light-Medium Roast,"Jasmine Green tea, Green apple acidity, full bodied and a lingering juicy aftertaste","Ratnagiri, Chikmaglur","Catuai, Chandragiri",Culture Natural,1350m,"INR 1,100",https://eventidecoffee.com/products/bloom-jasmine-coffee
Eventide Coffee,Cherry Wine [MICRO LOT],Light-Medium Roast,"Red cherries, Spice infused honey, tartaric acid and a juicy body",Nilgiris,Red Catuai,Anaerobic Natural,1700m,INR 900,https://eventidecoffee.com/products/cherry-wine-micro-lot
Eventide Coffee,Clementime,Light-Medium Roast,"Cake Cerries, Honey and Mild citric aftertaste with a full bodied mouthfeel",Nagaland,SL13,Hydro Natural,1350m,INR 900,https://eventidecoffee.com/products/ma-cherie-copy
Eventide Coffee,HoneyCrisp [SUPER RARE] [MICRO LOT],Light-Medium Roast,"Clean, Floral, Malic Acidity and long finish",Yercaud,Yellow Bourbon,Natural Process,,INR 900,https://eventidecoffee.com/products/honeycrips-superrare-microlot
Eventide Coffee,Koji Cloud [MICRO LOT],Light-Medium Roast,"High sweetness with syrupy texture, soft acidity, slight stone fruit and sake like notes. A long, rounded and umami-infused finish",Yercaud,"SL9, S795, Catimor",Amazake Honey,1550m,INR 900,https://eventidecoffee.com/products/koji-cloud
Eventide Coffee,Ma Cherie,Light-Medium Roast,,"The Natural Farmer, Kodaikanal",Sarchimor,Fermented Washed,1100-1200,INR 900,https://eventidecoffee.com/products/sarchimor-fermented-washed-filter-roast-microlot
Eventide Coffee,Mundane Routine,Medium-Dark Roast,,"Yercaud, Nagaland, Coorg",40% Arabica; 40% Arabica; 20% Canephora,Washed Pichia Innoculation; Hydro Naturals; Pichia Innoculation,,INR 750,https://eventidecoffee.com/products/mundane-routine
Eventide Coffee,Peach Eyes [OMNI ROAST],Medium Roast,"Prunes, Cherry cola and a spritzer like body followed by a mellow after taste","Ratnagiri, Chikmaglur","Catuai, Chandragiri",Thermal Shock,1350m,INR 900,https://eventidecoffee.com/products/peach-eyes
Eventide Coffee,Sweet Nothing,Medium Roast,"Jaggery sweetness, Tartaric Acidity, Bittersweet lingering aftertaste like amla",Koraput,"SL9, SL13",Red Honey,1000m,INR 750,https://eventidecoffee.com/products/clementime-copy
Fraction 9 Coffee Roasters,WASHED GOLD - LACTIC FERMENT - Value | Auto Discounted | No Codes,Light Plus,"Musk Melon, Raisin, Butter Cookie, Roasted Almond, Cocoa",Navees Farm,Selection 795,De-Pulped; Lalcafé Cima Yeast; 72-Hour Lactic Fermentation; Hand Washed,"4,000+ ft ASL",INR 705,https://www.fraction9coffee.com/products/washed-gold
Fraction 9 Coffee Roasters,KALYANCOOL MAHARANI,Mélange Split Roast – Light Plus,"Rose Petals, Marigold, Sugarcane, Date Syrup, Cacao Nibs, Spiced Finish","Kalyancool Estate, Chikmagalur",Chandragiri & Selection 795,Bruised Natural Anaerobic; Organic Rose Gulkand; 120-Hour Fermentation; Lalcafé Oro; Raised Beds,,INR 799,https://www.fraction9coffee.com/products/maharani
Fraction 9 Coffee Roasters,Ratnagiri – JASMINE ROYALE - Co-Ferment  | Auto Discounted | No Codes,Light Plus,"Mogra jasmine, Pink rose, Cardamom honey, Earl Grey tea, Vanilla cream","Ratnagiri Estate, GODOWN Patte block",SLN 9,Jasmine Flower Co-Fermented Natural; 56-hour Culture Fermentation; Jasmine-derived microbes & jasmine flower assisted drying; 29 days on raised beds,4400 feet,INR 875,https://www.fraction9coffee.com/products/ratnagiri-jasmine-royale-co-ferment-auto-discounted-no-codes
Fraction 9 Coffee Roasters,KEREHAKLU NOCTURNE - Anoxic Naturals | Auto Discounted | No Codes,Mélange Split Roast (Light Plus Roast),"Black Grapes, Blueberry, Peach, Sugarcane Juice Sweetness, Hibiscus Finish","Kerehaklu Estate – Aldur Region, Chikmagalur, Karnataka",Selection 5B,76h Anoxic Natural Fermentation,1125 MASL,INR 859,https://www.fraction9coffee.com/products/kerehaklu-nocturne-anoxic-naturals
Fraction 9 Coffee Roasters,TWILIGHT THEORY – NATURALS - Value | Auto Discounted | No Codes,Light Plus,"Black Grapes, Star Fruit, Brown Sugar, Dark Chocolate, Pomelo",Kalyancool Estate – Chikmagalur,Chandragiri & Selection 795,48-Hour Anaerobic Natural,"1,300 MASL",INR 640,https://www.fraction9coffee.com/products/twilight-theory-naturals-value-auto-discounted-no-codes
Fraction 9 Coffee Roasters,RUM Barrel (No. 9) Aged Coffee - Kalathgiri Estate - Intense Aromatics,Light Plus,"Rum, Salted Pistachio, Apple Juice, Rosewood, Blueberries","Kalathgiri Estate, Chikmagalur",S795,Washed + Honey Process with Rum Barrel Aging,,INR 985,https://www.fraction9coffee.com/products/rum-barrel-aged-coffee
Fraction 9 Coffee Roasters,Breakfast Roast Coffee,Medium Roast,"Hazelnut, Nutty, Plum","Kalyancool Estate, Chikmagalur",100% Arabica,,,INR 619,https://www.fraction9coffee.com/products/breakfast-roast-coffee-powder
Fraction 9 Coffee Roasters,Christmas Roast,Medium - Dark,"Dark Chocolate, Roasted Almonds; raisin and caramel aroma",Chikmagalur,100% Arabica; Grade A; Selection 795,Wash Processed,"1,300 M",INR 619,https://www.fraction9coffee.com/products/christmas-roast
Fraction 9 Coffee Roasters,Ratnagiri – RED SPECTRUM  | Auto Discounted | No Codes,Light Plus,"Pomegranate / Passionfruit, Papaya / Guava, Raisins, Orange Zest","Ratnagiri Estate, Line Patte block",SLN 9,Hydro Honey; 31 days on raised beds,,INR 799,https://www.fraction9coffee.com/products/ratnagiri-red-spectrum-auto-discounted-no-codes
Fraction 9 Coffee Roasters,Sweet Roast Coffee,Light Roast,"Clean, Citrus, Pleasant, Short Aftertaste",,100% Arabica,,,INR 619,https://www.fraction9coffee.com/products/cinnamon-roast-coffee-powder
Fraction 9 Coffee Roasters,Vienna Roast Coffee,Dark Roast,"Nutty, Oaky, Spice",Kalyancool Estate,100% Arabica,,,INR 619,https://www.fraction9coffee.com/products/vienna-roast-coffee-powder
Fraction 9 Coffee Roasters,French Roast Coffee,Darkest Roast,"Bold, Bitter, Intense, Strong, Cocoa",,100% Arabica,,,INR 619,https://www.fraction9coffee.com/products/french-roast-coffee
Fraction 9 Coffee Roasters,Everyday Gold – Affordable Value | Auto Discounted | No Codes,Medium Roast; Medium Dark Roast,"Medium: Toasted Almond, Golden Raisin, Milk Chocolate; Dark Minus: Cocoa, Roasted Hazelnut, Caramelized Date, Brown Sugar","Single-Estate, Aldur, Chikmagalur",100% Arabica; B-sized beans,Washed Process; 10-hour drain,,INR 435,https://www.fraction9coffee.com/products/everyday-gold-affordable-premium
Fraction 9 Coffee Roasters,Cappuccino Blend,Medium Dark Roast,"Milk Chocolate, Roasted Nuts, Spice",,80% Arabica & 20% Robusta,,,INR 619,https://www.fraction9coffee.com/products/cappuccino-blend
Fraction 9 Coffee Roasters,Traditional Blend Coffee,Dark Roast,"Bitter, Strong, Peanutty",,80% Arabica & 20% Robusta,,,INR 619,https://www.fraction9coffee.com/products/traditional-blend
Fraction 9 Coffee Roasters,PRABAL,Dark,"Strong, Bitter, Intense, Heavy body",Chikmagalur,100% Robusta; Grade A; Congensis x Robusta C X R,Wash Processed,"1,100 M",INR 529,https://www.fraction9coffee.com/products/prabal
Fraction 9 Coffee Roasters,Kaapi,Dark,Strong,,70% Robusta coffee & 30% chicory,Washed,,INR 449,https://www.fraction9coffee.com/products/kaapi
Fraction 9 Coffee Roasters,Desi 'Extreme Strong' Blend,Dark Roast,"Extremely strong, Slightly bitter",,50% Arabica + 35% Robusta + 15% Chicory,,,INR 515,https://www.fraction9coffee.com/products/desi-extreme-strong-blend
Fraction 9 Coffee Roasters,Desi 'Rich Taste' Blend,Medium Plus Roast,Rich Taste,,60% Arabica + 20% Robusta + 20% Chicory,,,INR 535,https://www.fraction9coffee.com/products/desi-rich-taste-blend
GB Roasters,MONSOONED MALABAR,Espresso | Filter,"Butter Biscuit, Milk Chocolate, Nutty, Woody, Slightly Earthy","Various Small Holder Farmers, India",SLN 795,Monsooned Naturals,950 - 1000 masl,INR 150,https://www.gbroastery.com/product-page/monsoon-malabar
GB Roasters,MUDREMANE ESTATE WASHED,Filter / Espresso,"Black Tea like, Floral, Brown Sugar, Ripe Sweet Lime like Acidity","Mudremane Estate, India",Chandragiri,Classic Washed,1000 - 1100 masl,INR 150,https://www.gbroastery.com/product-page/mudremane-estate-washed
GB Roasters,DECAF (CO2 Process),,Chocolatey as black and Nutty & Biscuit like with Milk,,,CO2 Process,,INR 250,https://www.gbroastery.com/product-page/decaf-co2-process
GB Roasters,SYRINA ANAEROBIC NATURALS,Filter,"Floral, Wild Honey, Ripe Sweet Musk Melon, Jujube, Almonds, Red Apple like, Juicy Acidity",,,Anaerobic Naturals,,INR 500,https://www.gbroastery.com/product-page/syrina-anaerobic-naturals
GB Roasters,NICARAGUA GESHA COE #1 WINNER,Filter,"Citrus, Floral, Green Apple, Lemongrass, Mint, Orange Blossom","La Esperanza / Abner Samuel Zavala, Nicaragua",Gesha,Washed,1350 masl,INR 800,https://www.gbroastery.com/product-page/nicaragua-gesha-coe-1winner
GB Roasters,NAGA WASHED,Filter,"Floral, Black Tea Like, Honey, Milk Chocolate, Caramel like, Buttery mouthfeel","Nagaland Small Holder Farmers, India",Selection 9,Classic Washed,1240 - 1280 masl,INR 250,https://www.gbroastery.com/product-page/naga-washed
GB Roasters,CGLE LAS MARGARITAS - SUDAN RUME,Filter / Espresso,"Bergamot, Nougat, Lemongrass, Vanilla and spicy accents of sweet clove with Malic acidity","Cafe Granja La Esperanja, Colombia",Sudan Rume,Hybrid Washed,1570 - 1850 masl,INR 1400,https://www.gbroastery.com/product-page/cgle-las-margaritas-sudanrume
GB Roasters,ANDRES TORRES - PERU GESHA,Filter,"Floral White Tea Like, Lavender, Java Plum, Cranberries, Blood Orange like Acidity","Andres Torres, Peru",Gesha,Classic Naturals,1600 - 1700 masl,INR 1250,https://www.gbroastery.com/product-page/andres-torres-peru-gesha
GB Roasters,EKATA - An. Naturals,Filter,"Ripe Pear & Jackfruit like, Almonds, Deep caramel like sweet, Juicy acidity","EKATA Farms, India","SLN 795, SLN 9 & Chandragiri",Anaerobic Naturals,1100 - 1600 masl,INR 250,https://www.gbroastery.com/product-page/ekata-an-naturals
Grey Soul Coffee Roasters,Pink Lemonade (Ultra-Light),Ultra-Light roast with elevated heat & restrained airflow; 15-16% development,"Vibrant citrus characters, orange, green grape, red apple, dried fig; blueberries, pineapples & chocolate dry aroma","Tsiesema Village, Kohima, Nagaland",Chandragiri,Sun-Dried Anaerobic Naturals with Raised Bed Drying,1350 MSL,INR 899,https://greysoul.coffee/products/pink-lemonade-ultra-light-nagaland-coffee
Grey Soul Coffee Roasters,Cane and Lime (Light-Med Roast),Light-Medium Roast with high air flow & 14-15% development,"Sweet lime, gooseberry, jaggery, sugarcane; dates, chickoo, cardamom, green grapes, milk chocolate, raisins","Yelnoorkhan Estate, Pandaravalli Village, Mallenahalli",Chandragiri,High altitude washed arabica dried on raised beds,5300 Feet,INR 799,https://greysoul.coffee/products/cane-lime-light-med-roast
Grey Soul Coffee Roasters,Shevaroys Washed (Light-Med Roast),Light-med Roast with variable drum speed and airflow; total roast time of 9 minutes,"Ripe tropical fruit notes of plums & Green Grapes, Pomegranates, cacao nibs; berries, figs, grapes","PKC Kudiraipanjan Estate, Shevaroys hills, Tamil Nadu",SLN 9 & Catimor,Mechanically washed with fresh stream water; soaked again for 48 hours; dried for 18 days; hulled and polished,1400 MSL,INR 799,https://greysoul.coffee/products/shevaroys-washed-grey-soul-coffee
Grey Soul Coffee Roasters,MOGRA,Light Roast dropped with an early 1st crack & 16% DTR,"Jasmine, Vanilla, Sweet Lime, Chocolate, Grapefruit, Forest Honey","Ratnagiri Estate, Chikmagalur",SL9,Anaerobic Fermented Naturals with culture microbes & mechanical dried at the farm,4450 Feet,INR 899,https://greysoul.coffee/products/mogra-light-roast
Grey Soul Coffee Roasters,THE YELLOW LOT,Roasted above medium with high DTR & variable drum speed,"Banana, Deep Date Sweetness, milk chocolate, subtropical fruit finish; ripe red berries, jackfruit, dates","Ratnagiri Estate, Chikmagalur",SL9,Anaerobic Fermented Naturals; hot washed followed by rapid cold wash; tumble mechanical dried at the farm,4450 Feet,INR 799,https://greysoul.coffee/products/the-yellow-lot-grey-soul-coffee
Grey Soul Coffee Roasters,Summer in Kodaikanal (Light Roast),Light Roast with high air flow & 14% development,"Ripe Strawberries, mandarin brightness, gentle tropical fruit, soft cacao finish; red berries, plums, pineapples, oranges","Princess of Hill Stations (Kodaikanal), Perumalmalai Hills, St. Joseph Estate","Catimor, Chandragiri & SLN9",Sun Dried Naturals using Controlled Dehydrator Drying,4000+ Feet,INR 799,https://greysoul.coffee/products/kodaikanal-naturals
Grey Soul Coffee Roasters,Raspberry in Loop,"Med Roast with high DTR, low fan speed & variable drum RPM","Raspberry, milk chocolate, mandarin acidity; pineapple, prune, cacao","Chikmagalur, Karnataka",SL795 & Chandragiri,"Anaerobic fermentation in 3 stages for 72 hours, 48 hours and 24 hours; sun-dried on raised beds for an extended period",4180 ft,INR 799,https://greysoul.coffee/products/raspberry-in-loop
Grey Soul Coffee Roasters,Odisha Fermented Naturals (Light Roast),Light Roast dropped at 202 C with early 1st crack & total roast time under 8.30 mins,"Pomegranate, Maple Syrup, plum finish; orange zest, berries, chocolate, berry jam, betel leaf","Koraput, Odisha",Chandragiri & SLN 9,Fermented sun-dried naturals,1100 M,INR 699,https://greysoul.coffee/products/odisha-floral-honey-light-med-roast-copy
Grey Soul Coffee Roasters,Roasters Espresso (Med Roast),"Low Temperature Fed Slightly above Med Roast, High DTR & Extended Maillard Phase","Almonds, Chocolate buttercream, Deep Sweetness from Ripe Red berries; hazelnut, cacao, dates, berry jam, milk chocolate","Chikmagalur, Karnataka","Selection 5B, 9 & Chandragiri",,3800 - 4100 Feet,INR 799,https://greysoul.coffee/products/roasters-espresso-med-dark-profile
Grey Soul Coffee Roasters,Strawberry in Loop,Roasted Slightly above Medium with 15-20% DTR & Extended Maillard Phase,"Milk Chocolate covered Strawberries with raspberry aftertaste; red berries, peaches, sugarcane, berry jam","Chikmagalur, Karnataka",Blended Varietals,Various Coffee Processing Techniques,4500 Feet,INR 799,https://greysoul.coffee/products/strawberry-in-loop-medium-roast-grey-soul-coffee
Half Light Coffee,MS Estate,"Medium, Medium-Dark (Espresso)","Berries, Peach and Walnut","Chikmagalur, Karnataka",SLN 795 HG,Washed,1000-1400 mt. Masl,INR 700,https://halflightcoffee.com/products/ms-estate
Half Light Coffee,Banana Kents by Balanoor Plantation,Medium,"Jaggery Bites, Plum, Cocoa","Chikmagalur, Karnataka",Kents,PSD,1200 Masl,INR 750,https://halflightcoffee.com/products/banana-kents
Half Light Coffee,Tripura Hills,Light - Medium,"White Chocolate, Caramel, Toasted Nuts","Jampui Hills, Tripura",SLN 5B,Traditional Naturals,800 - 950 Masl,INR 670,https://halflightcoffee.com/products/tripura-hills
Half Light Coffee,Salawara Washed,Light - Medium,"Custard Apple, Lemon - Vanilla Cream","Belur, Karnataka","Chandragiri, SLN 795",Washed | 48 Hours Fermented,1035 Masl,INR 750,https://halflightcoffee.com/products/salawara-washed
